id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475327,01/01/2010 00:01,1556,2972,-$77.00,Swipe Transaction,59935,Beulah,ND,58523,5499,
7475328,01/01/2010 00:02,561,4575,$14.57,Swipe Transaction,67570,Bettendorf,IA,52722,5311,
7475329,01/01/2010 00:02,1129,102,$80.00,Swipe Transaction,27092,Vista,CA,92084,4829,
7475331,01/01/2010 00:05,430,2860,$200.00,Swipe Transaction,27092,Crown Point,IN,46307,4829,
7475332,01/01/2010 00:06,848,3915,$46.41,Swipe Transaction,13051,Harwood,MD,20776,5813,
7475333,01/01/2010 00:07,1807,165,$4.81,Swipe Transaction,20519,Bronx,NY,10464,5942,
7475334,01/01/2010 00:09,1556,2972,$77.00,Swipe Transaction,59935,Beulah,ND,58523,5499,
7475335,01/01/2010 00:14,1684,2140,$26.46,Online Transaction,39021,ONLINE,,,4784,
7475336,01/01/2010 00:21,335,5131,$261.58,Online Transaction,50292,ONLINE,,,7801,
7475337,01/01/2010 00:21,351,1112,$10.74,Swipe Transaction,3864,Flushing,NY,11355,5813,
7475338,01/01/2010 00:23,554,3912,$3.51,Swipe Transaction,67570,Pearland,TX,77581,5311,
7475339,01/01/2010 00:23,605,5061,$2.58,Swipe Transaction,75781,Brooklyn,NY,11210,5411,
7475340,01/01/2010 00:26,1556,2972,$39.63,Swipe Transaction,59935,Beulah,ND,58523,5499,
7475341,01/01/2010 00:27,1797,1127,$43.33,Swipe Transaction,33326,Kahului,HI,96732,4121,
7475342,01/01/2010 00:30,114,3398,$49.42,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7475343,01/01/2010 00:31,1634,2464,$1.09,Swipe Transaction,20519,San Benito,TX,78586,5942,
7475344,01/01/2010 00:32,646,2093,$73.79,Swipe Transaction,1636,Erie,PA,16511,7538,
7475345,01/01/2010 00:32,1129,5492,$100.00,Swipe Transaction,27092,Vista,CA,92084,4829,
7475346,01/01/2010 00:34,394,4717,$26.04,Online Transaction,39021,ONLINE,,,4784,
7475347,01/01/2010 00:36,114,3398,-$64.00,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
